sample-id	absolute-filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
cbT11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cbT11_S26_L001_R1_001.fastq.gz	forward	cbT11	16s16	bT	healthy	NNet	MMax	cabfranc	1	1	9/10/2022	6/26/2023	N720	S503	GP22_GSR	1	414	414	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cBT11_S2_L001_R1_001.fastq.gz	forward	cBT11	16s13	BT	healthy	Net	MMax	cabfranc	1	1	9/10/2022	6/26/2023	N716	S503	GP22_GSR	1	494.4	494.4	3.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cBt11_S50_L001_R1_001.fastq.gz	forward	cBt11	16s19	Bt	healthy	Net	NMax	cabfranc	1	1	9/10/2022	6/26/2023	N723	S503	GP22_GSR	1	406	406	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cbt11_S74_L001_R1_001.fastq.gz	forward	cbt11	16s22	bt	healthy	NNet	NMax	cabfranc	1	1	9/10/2022	6/26/2023	N727	S503	GP22_GSR	1	412.7	412.7	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cBT12_S10_L001_R1_001.fastq.gz	forward	cBT12	16s14	BT	healthy	Net	MMax	cabfranc	1	2	9/10/2022	6/26/2023	N718	S503	GP22_GSR	1	464.4	464.4	3.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cbT12_S34_L001_R1_001.fastq.gz	forward	cbT12	16s17	bT	healthy	NNet	MMax	cabfranc	1	2	9/10/2022	6/26/2023	N721	S503	GP22_GSR	1	413.5	413.5	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cBt12_S58_L001_R1_001.fastq.gz	forward	cBt12	16s20	Bt	healthy	Net	NMax	cabfranc	1	2	9/10/2022	6/26/2023	N724	S503	GP22_GSR	1	408	408	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cbt12_S82_L001_R1_001.fastq.gz	forward	cbt12	16s23	bt	healthy	NNet	NMax	cabfranc	1	2	9/10/2022	6/26/2023	N728	S503	GP22_GSR	1	413.3	413.3	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cBT13_S18_L001_R1_001.fastq.gz	forward	cBT13	16s15	BT	healthy	Net	MMax	cabfranc	1	3	9/10/2022	6/26/2023	N719	S503	GP22_GSR	1	430.6	430.6	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/16s/cbT13_S42_L001_R1_001.fastq.gz	forward	cbT13	16s18	bT	healthy	NNet	MMax	cabfranc	1	3	9/10/2022	6/26/2023	N722	S503	GP22_GSR	1	412.2	412.2	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
