	shannon_entropy
cBT11	5.157387047689
cBT32	4.889483069402824
vbT11	4.205924034190507
cBt13	2.764628375908233
cBt32	5.078340290090367
vbT22	3.2759073811485666
cbt22	5.081459030385705
cBT21	4.905024699675935
vbt23	5.0646727496836865
vBt13	2.5795499607892505
cBt12	4.989921738953179
vBt33	4.987699220337325
vBT32	5.0045712911425255
vbT33	4.838274035463376
vBT13	5.00725475855122
vBt12	4.8277084135171195
cBT22	4.558549190068819
cBt21	4.93504820288386
vbT31	4.541737600917257
vbT13	4.5501101590495345
vBt11	4.725598980070021
cbt32	5.171860600874315
vbT21	4.552093534723837
vbt21	5.1069888910648755
vbt31	4.576615499006605
cbT11	5.179020368036598
vbT23	5.2007600954537265
vBT33	4.070422261890059
cbt11	5.44318156697168
cbt33	4.296513549266019
cBt23	4.6909864725512325
cBT31	4.910549432299108
cBT33	4.892645001156594
cBT23	5.041164429792672
cBt22	4.392941208945495
cBT13	4.785857328629942
cbt31	4.9457400095417325
vBt23	5.180689389789344
cbT22	4.954930305156281
cBt33	4.659503826219484
vBT11	5.358924395980981
cbT12	4.968924110906244
cbT32	3.674126816048369
vBT23	4.6364365346978245
cBT12	5.057639888900294
cbt12	2.513069111502214
cbt21	5.399329533902488
cbT33	3.9431660949748357
cbT13	5.379153717728067
cbt13	5.030150876636892
vbT12	4.608336931523646
vBT21	4.324570192238218
vBt31	4.821673259247403
cbT31	4.199022455414083
vbt12	5.062049643932519
cbT23	4.644756018767658
vBT22	4.200123459132248
vbt13	5.082219589882796
vbT32	4.855792193395797
vbt22	5.485949657889068
cbT21	4.896167365743122
vBT31	5.220624429471948
vBT12	5.165898296528128
vbt11	4.6569438006939325
vBt21	4.17011645458116
vBt32	4.930951277395101
cBt11	4.58724247377991
cbt23	5.0495416543091345
cBt31	4.352158994419588
vBt22	5.001922566747479
