sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
cbT11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT11_S26_L001_R1_001.fastq.gz	forward	cbT11	its16	bT	healthy	NNet	MMax	carbfranc	1	1	9/10/2022	6/14/2023	N704	S503	GP22_GSR	1	610.2	499	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT11_S2_L001_R1_001.fastq.gz	forward	cBT11	its13	BT	healthy	Net	MMax	carbfranc	1	1	9/10/2022	6/14/2023	N701	S503	GP22_GSR	1	1024.1	498	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt11_S50_L001_R1_001.fastq.gz	forward	cBt11	its19	Bt	healthy	Net	NMax	carbfranc	1	1	9/10/2022	6/14/2023	N707	S503	GP22_GSR	1	517.5	517.5	4.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt11_S74_L001_R1_001.fastq.gz	forward	cbt11	its22	bt	healthy	NNet	NMax	carbfranc	1	1	9/10/2022	6/14/2023	N712	S503	GP22_GSR	1	483.8	483.8	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT12_S10_L001_R1_001.fastq.gz	forward	cBT12	its14	BT	healthy	Net	MMax	carbfranc	1	2	9/10/2022	6/14/2023	N702	S503	GP22_GSR	1	816.2	463	4.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT12_S34_L001_R1_001.fastq.gz	forward	cbT12	its17	bT	healthy	NNet	MMax	carbfranc	1	2	9/10/2022	6/14/2023	N705	S503	GP22_GSR	1	566.1	566.1	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt12_S58_L001_R1_001.fastq.gz	forward	cBt12	its20	Bt	healthy	Net	NMax	carbfranc	1	2	9/10/2022	6/14/2023	N710	S503	GP22_GSR	1	526.2	526.2	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt12_S82_L001_R1_001.fastq.gz	forward	cbt12	its23	bt	healthy	NNet	NMax	carbfranc	1	2	9/10/2022	6/14/2023	N714	S503	GP22_GSR	1	438.7	438.7	4.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT13_S18_L001_R1_001.fastq.gz	forward	cBT13	its15	BT	healthy	Net	MMax	carbfranc	1	3	9/10/2022	6/14/2023	N703	S503	GP22_GSR	1	627.6	453	4.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT13_S42_L001_R1_001.fastq.gz	forward	cbT13	its18	bT	healthy	NNet	MMax	carbfranc	1	3	9/10/2022	6/14/2023	N706	S503	GP22_GSR	1	568.9	568.9	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt13_S66_L001_R1_001.fastq.gz	forward	cBt13	its21	Bt	healthy	Net	NMax	carbfranc	1	3	9/10/2022	6/14/2023	N711	S503	GP22_GSR	1	477.4	477.4	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt13_S90_L001_R1_001.fastq.gz	forward	cbt13	its24	bt	healthy	NNet	NMax	carbfranc	1	3	9/10/2022	6/14/2023	N715	S503	GP22_GSR	1	678.4	452	4.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt21_S29_L001_R1_001.fastq.gz	forward	cbt21	its52	bt	healthy	NNet	NMax	carbfranc	2	1	9/16/2022	6/14/2023	N704	S507	GP22_GSR	1	488.2	488.2	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT21_S52_L001_R1_001.fastq.gz	forward	cBT21	its43	BT	healthy	Net	MMax	carbfranc	2	1	9/16/2022	6/14/2023	N707	S506	GP22_GSR	1	519.6	519.6	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt21_S5_L001_R1_001.fastq.gz	forward	cBt21	its49	Bt	healthy	Net	NMax	carbfranc	2	1	9/16/2022	6/14/2023	N701	S507	GP22_GSR	1	581.2	581.2	3.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT21	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT21_S76_L001_R1_001.fastq.gz	forward	cbT21	its46	bT	healthy	NNet	MMax	carbfranc	2	1	9/16/2022	6/14/2023	N712	S506	GP22_GSR	1	479	479	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt22_S13_L001_R1_001.fastq.gz	forward	cBt22	its50	Bt	healthy	Net	NMax	carbfranc	2	2	9/16/2022	6/14/2023	N702	S507	GP22_GSR	1	547.9	547.9	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt22_S37_L001_R1_001.fastq.gz	forward	cbt22	its53	bt	healthy	NNet	NMax	carbfranc	2	2	9/16/2022	6/14/2023	N705	S507	GP22_GSR	1	508.1	508.1	4.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT22_S60_L001_R1_001.fastq.gz	forward	cBT22	its44	BT	healthy	Net	MMax	carbfranc	2	2	9/16/2022	6/14/2023	N710	S506	GP22_GSR	1	497.4	497.4	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT22	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT22_S84_L001_R1_001.fastq.gz	forward	cbT22	its47	bT	healthy	NNet	MMax	carbfranc	2	2	9/16/2022	6/14/2023	N714	S506	GP22_GSR	1	537.1	537.1	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt23_S21_L001_R1_001.fastq.gz	forward	cBt23	its51	Bt	healthy	Net	NMax	carbfranc	2	3	9/16/2022	6/14/2023	N703	S507	GP22_GSR	1	514.8	514.8	4.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt23_S45_L001_R1_001.fastq.gz	forward	cbt23	its54	bt	healthy	NNet	NMax	carbfranc	2	3	9/16/2022	6/14/2023	N706	S507	GP22_GSR	1	473	473	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT23_S68_L001_R1_001.fastq.gz	forward	cBT23	its45	BT	healthy	Net	MMax	carbfranc	2	3	9/16/2022	6/14/2023	N711	S506	GP22_GSR	1	493.2	493.2	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT23_S92_L001_R1_001.fastq.gz	forward	cbT23	its48	bT	healthy	NNet	MMax	carbfranc	2	3	9/16/2022	6/14/2023	N715	S506	GP22_GSR	1	630.4	378	5.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
