	chao1
gsr01	114.46153846153847
gsr07	68.14285714285714
gsr09	153.05555555555554
mbT33	66.4375
vBT32	45.0
mbt33	58.09090909090909
mbT31	54.0
gsr16	193.23076923076923
gsr04	159.1578947368421
gsr08	188.3
vbT33	48.0
mbT32	77.625
vbt31	52.25
gsr17	151.2
vbT31	127.0
vBt33	60.142857142857146
gsr11	86.8
gsr06	164.66666666666666
gsr03	72.8
cBT31	46.0
gsr10	161.2
vbt33	6.0
gsr14	100.66666666666667
vbt32	25.166666666666668
gsr12	108.2
vBt31	59.625
gsr13	111.25
vbT32	45.0
ctrl	21.0
gsr15	69.66666666666667
mbt31	100.75
gsr05	104.0
gsr02	225.5
mbt32	120.9090909090909
cbt33	65.5
