sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry-status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
cBT31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/cBT31_S7_L001_R1_001.fastq.gz	forward	cBT31	16s73	BT	healthy	Net	MMax	carbfranc	3	1	9/27/2022	6/26/2023	N716	S510	GP22_GSR	1	454.1	454.1	3.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/cbt33_S95_L001_R1_001.fastq.gz	forward	cbt33	16s84	bt	healthy	NNet	NMax	carbfranc	3	3	9/27/2022	6/26/2023	N729	S510	GP22_GSR	1	440.5	440.5	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
ctrl	/home/jblaise/scratch/gsr_raw_data/fastqs/its/ctrl_S132_L001_R1_001.fastq.gz	forward	ctrl	16s114	tr	control	control	control	control	4	1	6/13/2023	6/26/2023	N701	S502	GP22_GSR	2	383.9	383.9	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr01	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr01_S116_L001_R1_001.fastq.gz	forward	mbT31	16s97	bT	Infected	NNet	MMax	merlot	4	1	9/27/2022	6/26/2023	N706	S503	GP22_GSR	2	477.9	477.9	3.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr02	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr02_S119_L001_R1_001.fastq.gz	forward	mbT32	16s98	bT	Infected	NNet	MMax	merlot	4	2	9/27/2022	6/26/2023	N702	S502	GP22_GSR	2	419.6	419.6	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr03	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr03_S122_L001_R1_001.fastq.gz	forward	mbT33	16s99	bT	Infected	NNet	MMax	merlot	4	3	9/27/2022	6/26/2023	N703	S502	GP22_GSR	2	403.3	403.3	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr04	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr04_S125_L001_R1_001.fastq.gz	forward	mbt31	16s100	bt	Infected	NNet	NMax	merlot	4	1	9/27/2022	6/26/2023	N704	S502	GP22_GSR	2	402.7	402.7	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr05	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr05_S128_L001_R1_001.fastq.gz	forward	mbt32	16s101	bt	Infected	NNet	NMax	merlot	4	2	9/27/2022	6/26/2023	N705	S502	GP22_GSR	2	412.2	412.2	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr06	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr06_S131_L001_R1_001.fastq.gz	forward	mbt33	16s102	bt	Infected	NNet	NMax	merlot	4	3	9/27/2022	6/26/2023	N706	S502	GP22_GSR	2	283.3	283.3	5.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr07	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr07_S99_L001_R1_001.fastq.gz	forward	cBT31	16s103	BT	Infected	Net	MMax	carbfranc	4	1	9/27/2022	6/26/2023	N707	S502	GP22_GSR	2	399.2	399.2	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
