	shannon_entropy
gsr01	5.5501751097649805
gsr07	4.978462208451723
gsr09	4.36009274076502
mbT33	4.534509121975463
mbt33	4.781291464579065
mbT31	4.917110349333037
gsr16	3.7464373038818293
gsr04	3.5594291129123747
gsr08	4.087242500935916
vbT33	4.771564874415746
mbT32	5.127263508758063
vbt31	4.531457929701876
gsr17	4.467159732318732
vbT31	4.308137659944346
vBt33	4.973332384993561
gsr11	3.8589542038964817
gsr06	3.977965280119207
gsr03	4.889524979704106
gsr10	4.3952579768321876
gsr14	5.104295607060086
gsr12	5.1662443596007845
vBt31	4.822454654168647
gsr13	4.450207311832338
gsr15	4.76691443220082
mbt31	5.249908811041444
gsr05	5.220280745023847
gsr02	4.018619324431159
mbt32	3.4578443369899055
