sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
cBT31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/cBT31_S7_L001_R1_001.fastq.gz	forward	cBT31	its73	BT	healthy	Net	MMax	carbfranc	3	1	9/27/2022	6/14/2023	N701	S510	GP22_GSR	1	831.9	545	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/cbt33_S95_L001_R1_001.fastq.gz	forward	cbt33	its84	bt	healthy	NNet	NMax	carbfranc	3	3	9/27/2022	6/14/2023	N715	S510	GP22_GSR	1	969.8	498	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
fctrl	/home/jblaise/scratch/gsr_raw_data/fastqs/its/ctrl_S132_L001_R1_001.fastq.gz	forward	ctrl	its114	tr	control	control	control	control	4	1	6/13/2023	6/14/2023	N715	S505	GP22_GSR	2	433	433	4.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr01	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr01_S116_L001_R1_001.fastq.gz	forward	mbT31	its97	bT	Infected	NNet	MMax	merlot	4	1	9/27/2022	6/14/2023	N707	S503	GP22_GSR	2	398.6	398.6	5.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr02	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr02_S119_L001_R1_001.fastq.gz	forward	mbT32	its98	bT	Infected	NNet	MMax	merlot	4	2	9/27/2022	6/14/2023	N710	S503	GP22_GSR	2	425.8	425.8	4.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr03	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr03_S122_L001_R1_001.fastq.gz	forward	mbT33	its99	bT	Infected	NNet	MMax	merlot	4	3	9/27/2022	6/14/2023	N711	S503	GP22_GSR	2	410	410	5.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr04	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr04_S125_L001_R1_001.fastq.gz	forward	mbt31	its100	bt	Infected	NNet	NMax	merlot	4	1	9/27/2022	6/14/2023	N712	S503	GP22_GSR	2	411.5	411.5	5.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr05	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr05_S128_L001_R1_001.fastq.gz	forward	mbt32	its101	bt	Infected	NNet	NMax	merlot	4	2	9/27/2022	6/14/2023	N714	S503	GP22_GSR	2	378.6	378.6	5.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr06	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr06_S131_L001_R1_001.fastq.gz	forward	mbt33	its102	bt	Infected	NNet	NMax	merlot	4	3	9/27/2022	6/14/2023	N715	S503	GP22_GSR	2	415.8	415.8	5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr07	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr07_S99_L001_R1_001.fastq.gz	forward	cBT31	its103	BT	Infected	Net	MMax	carbfranc	4	1	9/27/2022	6/14/2023	N701	S505	GP22_GSR	2	376.9	376.9	5.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr08	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr08_S102_L001_R1_001.fastq.gz	forward	cbt33	its104	bt	Infected	NNet	NMax	carbfranc	4	3	9/27/2022	6/14/2023	N702	S505	GP22_GSR	2	399.8	399.8	5.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr09	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr09_S105_L001_R1_001.fastq.gz	forward	vBT32	its105	BT	Infected	Net	MMax	vidalblanc	4	2	10/7/2022	6/14/2023	N703	S505	GP22_GSR	2	399.6	399.6	5.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
