# Constructed from biom file
#OTU ID	cBT31	cbt33	gsr01	gsr02	gsr03	gsr04	gsr05	gsr06	gsr07	gsr08	gsr09	gsr10	gsr11	gsr12	gsr13	gsr14	gsr15	gsr16	gsr17	mbt31	mbT31	mbt32	mbT32	mbT33	vBt31	vbt32	vBT32	vbt33
708d7bae32bb2379f426e9e87ca9b025	151.0	1.0	2935.0	14986.0	7568.0	19935.0	2096.0	6816.0	6.0	2225.0	1763.0	10575.0	1149.0	18594.0	11024.0	1112.0	16600.0	5346.0	3513.0	0.0	0.0	0.0	6.0	0.0	2.0	3.0	0.0	87.0
d8167ffa58c4d55cafd4776a9c367e6f	0.0	0.0	9548.0	1401.0	80.0	1071.0	1433.0	6705.0	7.0	1858.0	71.0	725.0	117.0	396.0	1031.0	14792.0	889.0	3654.0	9187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3e8cf843ae1e99d8a13f65659dcc103d	15473.0	9732.0	1171.0	1902.0	9932.0	1050.0	4372.0	96.0	9315.0	5812.0	3871.0	1719.0	2301.0	9.0	2995.0	1152.0	3904.0	155.0	3067.0	3576.0	4223.0	7529.0	8960.0	8489.0	12168.0	6429.0	14842.0	8290.0
e82546f091b198910fa4f7d716b7190e	0.0	0.0	37.0	3236.0	16.0	57.0	20.0	1304.0	6.0	344.0	94.0	7119.0	4676.0	4188.0	839.0	8.0	3227.0	7354.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4bc28a04ea6f57b1a9e088d8fd453c1f	0.0	0.0	2783.0	49.0	0.0	19.0	67.0	289.0	6.0	610.0	16.0	146.0	45.0	0.0	266.0	6073.0	52.0	2865.0	2356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b7d56027f65de48259ecde66b95a2247	799.0	7568.0	263.0	9.0	1.0	0.0	296.0	0.0	3053.0	2565.0	7973.0	259.0	160.0	5.0	455.0	115.0	14.0	62.0	403.0	2400.0	1969.0	6767.0	3601.0	5923.0	2688.0	3721.0	632.0	3046.0
bf32eb40a4f3a0e5b6ebd0c79ab04088	557.0	945.0	431.0	681.0	218.0	471.0	4256.0	604.0	133.0	1636.0	411.0	107.0	0.0	0.0	107.0	52.0	4.0	0.0	389.0	11735.0	16092.0	2147.0	6198.0	887.0	2103.0	1602.0	29.0	2805.0
4fa2b83b2e0ef234cd62d855553b533b	0.0	0.0	408.0	219.0	1833.0	259.0	3012.0	4.0	4731.0	2451.0	3464.0	1052.0	125.0	601.0	2747.0	514.0	46.0	326.0	977.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18e86beed3eccfd956e8508bf14e13c1	0.0	0.0	789.0	319.0	625.0	0.0	4201.0	48.0	2864.0	2823.0	2661.0	1682.0	0.0	722.0	2093.0	399.0	29.0	32.0	1817.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
425527fad3a38bd15548d7cae726980c	0.0	0.0	50.0	218.0	2.0	29.0	93.0	188.0	0.0	644.0	6.0	334.0	39.0	4.0	767.0	1.0	15.0	3766.0	823.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
