	shannon_entropy
cBT31	2.4587782493013477
cbt33	2.6899838816485646
gsr01	3.280728899147702
gsr02	2.3236570178936677
gsr03	2.4507744237641553
gsr04	1.4192498788572168
gsr05	3.7587080095042085
gsr06	2.889239605320207
gsr07	2.9275826330101884
gsr08	3.790750807141667
gsr09	2.980572952450339
gsr10	2.575337124689447
gsr11	2.084743724104668
gsr12	1.2588079755434427
gsr13	3.0542159333124403
gsr14	1.9049730596969705
gsr15	1.505780850120118
gsr16	2.813502440091335
gsr17	3.1029316089496164
mbt31	2.578839546162343
mbT31	1.8717243501623324
mbt32	3.1352207933187155
mbT32	3.0739935775724656
mbT33	3.4261247410878495
vBt31	2.822718674122368
vbt32	3.030392912104977
vBT32	2.4501519594446055
vbt33	3.7691264215895965
