# Constructed from biom file
#OTU ID	gsr01	gsr07	gsr09	mbT33	mbt33	mbT31	gsr16	gsr04	gsr08	vbT33	mbT32	vbt31	gsr17	vbT31	vBt33	gsr11	gsr06	gsr03	gsr10	gsr14	gsr12	vBt31	gsr13	gsr15	mbt31	gsr05	gsr02	mbt32
f4a71112441afbfe3e59e754aa48dbfd	153.0	28.0	709.0	402.0	357.0	77.0	26.0	1068.0	562.0	3.0	59.0	20.0	272.0	653.0	2.0	117.0	639.0	5.0	93.0	41.0	191.0	0.0	571.0	418.0	2.0	7.0	281.0	939.0
b0e6dc1f39ea078db9ed9c6620b63b0b	137.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	7.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	27.0	0.0	12.0
c9054740b67f3ac147c3db0e3cc24fee	134.0	116.0	23.0	66.0	133.0	140.0	0.0	20.0	1.0	193.0	121.0	219.0	50.0	47.0	99.0	8.0	9.0	83.0	1.0	190.0	0.0	104.0	71.0	115.0	60.0	147.0	4.0	27.0
3e541e37542685b9d103840062ddce68	148.0	0.0	4.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
894a42e2fd70a58f94c1fbccd06aa838	92.0	104.0	12.0	73.0	125.0	139.0	2.0	8.0	2.0	145.0	161.0	49.0	22.0	51.0	46.0	16.0	8.0	145.0	1.0	183.0	20.0	32.0	20.0	18.0	78.0	96.0	1.0	31.0
6f0c0662c04c2ea5dbf790c35af659ca	104.0	15.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	33.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
eb30d9ef7107c3496d5371ca499058c3	90.0	27.0	10.0	2.0	1.0	57.0	0.0	0.0	1.0	50.0	169.0	38.0	4.0	35.0	0.0	4.0	0.0	21.0	4.0	176.0	27.0	55.0	9.0	96.0	66.0	59.0	0.0	3.0
93c548f8ac023c3272f33ec327e7246a	95.0	98.0	9.0	37.0	100.0	67.0	0.0	11.0	0.0	125.0	70.0	131.0	16.0	30.0	72.0	4.0	4.0	61.0	3.0	163.0	2.0	59.0	32.0	65.0	53.0	123.0	1.0	14.0
5bb28b8d53627029122adc5b5b011457	79.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
a9ec74a35f4afbaf3e86ba4143bc8cd7	78.0	5.0	16.0	0.0	9.0	29.0	0.0	11.0	0.0	15.0	0.0	57.0	5.0	21.0	247.0	7.0	3.0	22.0	2.0	10.0	22.0	217.0	4.0	28.0	2.0	0.0	0.0	0.0
aab86665d1eef57c72e8abfa64ddecde	79.0	14.0	355.0	218.0	201.0	36.0	11.0	532.0	295.0	5.0	28.0	26.0	114.0	496.0	4.0	49.0	292.0	6.0	57.0	30.0	132.0	0.0	315.0	221.0	0.0	1.0	141.0	575.0
a17b30962a7a3e842059556f60ac71ff	61.0	36.0	3.0	145.0	51.0	43.0	3.0	45.0	0.0	138.0	94.0	50.0	23.0	36.0	90.0	20.0	2.0	117.0	5.0	58.0	35.0	35.0	1.0	52.0	80.0	141.0	0.0	18.0
6442b794f60871c60a21f8f3e108e24b	71.0	6.0	0.0	0.0	0.0	0.0	439.0	31.0	215.0	0.0	0.0	0.0	445.0	0.0	0.0	700.0	71.0	3.0	352.0	2.0	203.0	0.0	0.0	2.0	0.0	0.0	88.0	0.0
5ff0770bf3d931666d9298816ce04ff3	57.0	221.0	19.0	101.0	84.0	193.0	3.0	47.0	0.0	56.0	114.0	15.0	0.0	41.0	183.0	20.0	15.0	228.0	9.0	35.0	77.0	268.0	50.0	168.0	138.0	42.0	2.0	57.0
dbb2f5f44e33eb6dead495dc794d8c07	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a3bdeace95717f043abe3c20cd4ec625	70.0	25.0	6.0	0.0	1.0	30.0	1.0	0.0	0.0	36.0	93.0	34.0	0.0	25.0	0.0	9.0	0.0	17.0	0.0	148.0	34.0	57.0	0.0	49.0	55.0	55.0	0.0	0.0
d203822aac47e90230c23e7c33a7c6ea	55.0	78.0	17.0	39.0	65.0	50.0	2.0	35.0	0.0	204.0	156.0	0.0	0.0	0.0	67.0	29.0	18.0	190.0	2.0	98.0	12.0	66.0	21.0	68.0	173.0	72.0	2.0	18.0
12da501058b33d084018dfc35b4ce48f	52.0	101.0	6.0	224.0	154.0	132.0	0.0	9.0	0.0	152.0	0.0	170.0	34.0	46.0	0.0	0.0	6.0	0.0	0.0	0.0	17.0	95.0	17.0	71.0	5.0	48.0	0.0	28.0
0c21459178116ad29a49af2c9a5342c6	46.0	35.0	4.0	68.0	44.0	41.0	1.0	20.0	0.0	89.0	78.0	54.0	7.0	30.0	78.0	11.0	1.0	93.0	5.0	45.0	39.0	33.0	0.0	0.0	73.0	99.0	0.0	7.0
03069ad98df6e3525d4f7ecd691abc4f	44.0	88.0	5.0	37.0	81.0	106.0	0.0	3.0	2.0	97.0	82.0	34.0	5.0	47.0	53.0	10.0	0.0	140.0	0.0	148.0	13.0	49.0	19.0	16.0	62.0	78.0	0.0	26.0
f5eeff4008c828e0d0e8da49852312fb	32.0	142.0	9.0	70.0	17.0	24.0	0.0	20.0	0.0	137.0	14.0	162.0	13.0	28.0	0.0	15.0	3.0	82.0	2.0	93.0	29.0	49.0	40.0	65.0	137.0	126.0	0.0	21.0
a5ff872674e5fe605d5c68899a93b371	31.0	2.0	91.0	88.0	96.0	40.0	6.0	54.0	270.0	0.0	0.0	0.0	21.0	180.0	1.0	23.0	30.0	3.0	21.0	7.0	28.0	0.0	77.0	49.0	43.0	1.0	85.0	219.0
a34bae262ecf0ae20706d82d645fb1ec	44.0	0.0	1.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accd35f9f51944996c46641c34353c93	34.0	0.0	1.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
526af2c77655026d008338020ad0fb00	35.0	191.0	17.0	62.0	47.0	98.0	1.0	21.0	0.0	41.0	85.0	7.0	0.0	39.0	166.0	13.0	6.0	183.0	8.0	44.0	66.0	194.0	33.0	66.0	86.0	38.0	2.0	31.0
