	pielou_evenness
gsr01	0.8728877012190509
gsr07	0.8970041952482894
gsr09	0.6753112764801964
mbT33	0.8070402481721386
vBT32	0.8947782795138411
mbt33	0.8681659414564794
mbT31	0.8904905126973707
gsr16	0.6586989963369284
gsr04	0.5537863314992533
gsr08	0.6906547452777246
vbT33	0.8881570202213231
mbT32	0.8885623134967113
vbt31	0.8610593132602204
gsr17	0.7256422140543504
vbT31	0.6820275436286148
vBt33	0.9010886375140342
gsr11	0.6805748264334222
gsr06	0.6418959928137811
gsr03	0.8773606387865056
cBT31	0.8914145293125026
gsr10	0.7494332749235958
gsr14	0.8592335638552321
gsr12	0.8453066263730289
vBt31	0.8860366602071719
gsr13	0.7320958951778326
vbT32	0.8714600530707273
gsr15	0.8216223707778872
mbt31	0.8863622242960714
gsr05	0.8637459416536352
gsr02	0.6590310604485
mbt32	0.571893983364227
cbt33	0.7244263970759065
