	pielou_evenness
cBT31	0.5664616591464532
cbt33	0.6821769244131962
fctrl	0.6774554111951208
gsr01	0.5940138646824962
gsr02	0.44563116663369284
gsr03	0.6174504694496983
gsr04	0.29385539474389016
gsr05	0.6539041466163005
gsr06	0.5463367159351733
gsr07	0.5667868513601235
gsr08	0.6821988820759821
gsr09	0.6833226879264328
gsr10	0.49802918002163654
gsr11	0.528889763317504
gsr12	0.38007440901410655
gsr13	0.5412641969763938
gsr14	0.39508551928879415
gsr15	0.38122164946001624
gsr16	0.5558962388685855
gsr17	0.6590896411091893
mbt31	0.26110375401090574
mbT31	0.5957204793879404
mbt32	0.5411642304756004
mbT32	0.6676007911252657
mbt33	0.5945960733479069
mbT33	0.6258180304950853
vbt31	0.24192906117783292
vbT31	0.7529235249993462
vBt31	0.7262555273834747
vbt32	0.5641088253902122
vBT32	0.6545271704892893
vbt33	0.6683463634909655
vBt33	0.5292137617600882
