	shannon_entropy
cBT31	2.4482065593415645
cbt33	3.0421213462329533
fctrl	3.146005504574843
gsr01	3.2622368820193226
gsr02	2.3716170256652815
gsr03	2.469801877798793
gsr04	1.3972493439110358
gsr05	3.6520301379181075
gsr06	2.7794677411309365
gsr07	2.8835070452039084
gsr08	3.724418147004634
gsr09	3.0013701475592844
gsr10	2.5747735092416733
gsr11	2.0663144424187716
gsr12	1.2625798574516713
gsr13	3.0390414150304714
gsr14	1.834720334239628
gsr15	1.524886597840065
gsr16	2.804159718322175
gsr17	3.060717509481311
mbt31	1.2552184170120457
mbT31	2.2044277228371865
mbt32	2.2566142545464953
mbT32	2.4704164833423485
mbt33	2.2638382864972773
mbT33	2.6096142517148437
vbt31	0.8036709452963667
vbT31	3.2540813359963017
vBt31	3.2386868620239726
vbt32	2.256435301560849
vBT32	2.6753554879636963
vbt33	3.6916525468477492
vBt33	2.3244748261531236
