# Constructed from biom file
#OTU ID	gsr01	gsr07	gsr09	mbT33	vBT32	mbt33	mbT31	gsr16	gsr04	gsr08	vbT33	mbT32	vbt31	gsr17	vbT31	vBt33	gsr11	gsr06	gsr03	cBT31	gsr10	gsr14	gsr12	vBt31	gsr13	vbT32	gsr15	mbt31	gsr05	gsr02	mbt32	cbt33
f4a71112441afbfe3e59e754aa48dbfd	69.0	13.0	244.0	159.0	22.0	126.0	36.0	11.0	387.0	222.0	2.0	15.0	7.0	98.0	240.0	2.0	39.0	241.0	1.0	6.0	41.0	16.0	69.0	0.0	189.0	9.0	159.0	0.0	1.0	99.0	340.0	206.0
b0e6dc1f39ea078db9ed9c6620b63b0b	53.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	4.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	0.0	10.0	0.0	5.0	0.0
c9054740b67f3ac147c3db0e3cc24fee	47.0	39.0	7.0	27.0	62.0	37.0	61.0	0.0	7.0	0.0	68.0	47.0	81.0	9.0	9.0	33.0	13.0	2.0	31.0	6.0	0.0	63.0	0.0	36.0	25.0	18.0	39.0	26.0	50.0	1.0	9.0	31.0
3e541e37542685b9d103840062ddce68	48.0	0.0	0.0	0.0	8.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
894a42e2fd70a58f94c1fbccd06aa838	32.0	37.0	2.0	20.0	64.0	44.0	59.0	1.0	2.0	2.0	47.0	64.0	15.0	12.0	15.0	14.0	0.0	5.0	58.0	8.0	1.0	60.0	3.0	11.0	12.0	78.0	8.0	24.0	26.0	0.0	6.0	7.0
6f0c0662c04c2ea5dbf790c35af659ca	34.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	7.0	0.0	0.0	4.0	1.0	0.0	0.0
eb30d9ef7107c3496d5371ca499058c3	32.0	7.0	5.0	0.0	9.0	1.0	20.0	1.0	0.0	0.0	20.0	54.0	14.0	1.0	12.0	0.0	5.0	0.0	10.0	10.0	1.0	74.0	12.0	24.0	3.0	62.0	37.0	19.0	15.0	0.0	0.0	3.0
93c548f8ac023c3272f33ec327e7246a	38.0	42.0	8.0	13.0	48.0	39.0	21.0	0.0	5.0	0.0	29.0	18.0	41.0	4.0	16.0	28.0	0.0	0.0	32.0	4.0	0.0	49.0	1.0	20.0	13.0	28.0	19.0	22.0	39.0	0.0	5.0	10.0
5bb28b8d53627029122adc5b5b011457	28.0	0.0	0.0	0.0	12.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9ec74a35f4afbaf3e86ba4143bc8cd7	17.0	1.0	5.0	0.0	0.0	4.0	7.0	0.0	3.0	0.0	6.0	0.0	19.0	2.0	5.0	83.0	0.0	2.0	11.0	9.0	2.0	5.0	12.0	83.0	2.0	23.0	10.0	2.0	0.0	2.0	0.0	5.0
aab86665d1eef57c72e8abfa64ddecde	23.0	6.0	123.0	94.0	16.0	66.0	21.0	5.0	195.0	113.0	0.0	11.0	10.0	52.0	176.0	2.0	21.0	115.0	1.0	10.0	25.0	9.0	60.0	0.0	131.0	6.0	58.0	0.0	0.0	55.0	206.0	120.0
a17b30962a7a3e842059556f60ac71ff	26.0	13.0	2.0	36.0	13.0	18.0	15.0	0.0	18.0	1.0	59.0	30.0	7.0	8.0	14.0	36.0	8.0	1.0	34.0	48.0	3.0	23.0	14.0	18.0	0.0	43.0	22.0	35.0	49.0	0.0	10.0	20.0
6442b794f60871c60a21f8f3e108e24b	24.0	4.0	0.0	0.0	0.0	0.0	0.0	164.0	7.0	65.0	0.0	0.0	0.0	139.0	0.0	0.0	226.0	20.0	0.0	0.0	117.0	2.0	74.0	0.0	0.0	0.0	1.0	0.0	0.0	27.0	0.0	0.0
5ff0770bf3d931666d9298816ce04ff3	23.0	65.0	13.0	30.0	69.0	35.0	71.0	0.0	17.0	0.0	24.0	32.0	1.0	0.0	22.0	72.0	10.0	3.0	68.0	54.0	0.0	13.0	25.0	72.0	15.0	41.0	55.0	40.0	18.0	1.0	19.0	16.0
