	shannon_entropy
gsr01	5.48645029405979
gsr07	4.9546582472969884
gsr09	4.269269331574401
mbT33	4.432146485786829
vBT32	4.884980830847746
mbt33	4.795368365773429
mbT31	4.918679518164901
gsr16	3.717602407674572
gsr04	3.4494346521836965
gsr08	4.010877234431035
vbT33	4.726707798587302
mbT32	5.040303384999566
vbt31	4.485648337469608
gsr17	4.386067531388363
vbT31	4.194296921852928
vBt33	4.948646423998937
gsr11	3.9523395681166344
gsr06	3.934362207398537
gsr03	4.900026267231394
cBT31	4.923783381187008
gsr10	4.390165881618641
gsr14	5.116045315667389
gsr12	5.071839758238173
vBt31	4.837256558006825
gsr13	4.440958996116756
vbT32	4.785930590784096
gsr15	4.728344313087583
mbt31	5.1700533670294035
gsr05	5.201795757648806
gsr02	3.8440556915144564
mbt32	3.3501440857754456
cbt33	4.31337698061622
