# Constructed from biom file
#OTU ID	gsr01	gsr07	gsr09	mbT33	vBT32	mbt33	mbT31	gsr16	gsr04	gsr08	vbT33	mbT32	vbt31	gsr17	vbT31	vBt33	gsr11	gsr06	gsr03	cBT31	gsr10	vbt33	gsr14	vbt32	gsr12	vBt31	gsr13	vbT32	ctrl	gsr15	mbt31	gsr05	gsr02	mbt32	cbt33
f4a71112441afbfe3e59e754aa48dbfd	695.0	46.0	5392.0	681.0	22.0	955.0	116.0	2389.0	14714.0	32255.0	6.0	142.0	48.0	3321.0	6394.0	6.0	474.0	12780.0	12.0	14.0	3686.0	17.0	118.0	19.0	982.0	0.0	2754.0	15.0	9.0	774.0	2.0	15.0	24661.0	18380.0	320.0
b0e6dc1f39ea078db9ed9c6620b63b0b	692.0	44.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	99.0	0.0	0.0	77.0	43.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	44.0	0.0	96.0	41.0	209.0	0.0
c9054740b67f3ac147c3db0e3cc24fee	661.0	184.0	137.0	123.0	62.0	375.0	222.0	81.0	274.0	15.0	399.0	270.0	439.0	507.0	356.0	314.0	71.0	120.0	199.0	20.0	41.0	0.0	589.0	0.0	0.0	195.0	336.0	28.0	2.0	202.0	206.0	494.0	172.0	480.0	45.0
3e541e37542685b9d103840062ddce68	616.0	0.0	43.0	0.0	8.0	145.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	76.0	0.0	11.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0
894a42e2fd70a58f94c1fbccd06aa838	433.0	171.0	80.0	123.0	64.0	347.0	237.0	129.0	169.0	151.0	282.0	343.0	89.0	312.0	449.0	129.0	70.0	138.0	381.0	20.0	24.0	0.0	531.0	5.0	114.0	74.0	122.0	107.0	2.0	34.0	206.0	346.0	90.0	699.0	11.0
6f0c0662c04c2ea5dbf790c35af659ca	432.0	28.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	73.0	0.0	0.0	59.0	47.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	68.0	34.0	0.0	0.0
eb30d9ef7107c3496d5371ca499058c3	420.0	43.0	107.0	2.0	9.0	4.0	85.0	136.0	0.0	73.0	96.0	346.0	94.0	71.0	355.0	0.0	46.0	0.0	59.0	27.0	166.0	0.0	570.0	0.0	176.0	121.0	54.0	87.0	0.0	188.0	228.0	238.0	86.0	76.0	5.0
93c548f8ac023c3272f33ec327e7246a	415.0	167.0	81.0	70.0	48.0	276.0	108.0	39.0	153.0	9.0	245.0	147.0	294.0	251.0	290.0	232.0	29.0	49.0	174.0	18.0	37.0	0.0	500.0	3.0	7.0	94.0	165.0	47.0	0.0	106.0	153.0	435.0	82.0	257.0	12.0
5bb28b8d53627029122adc5b5b011457	394.0	0.0	0.0	0.0	12.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
a9ec74a35f4afbaf3e86ba4143bc8cd7	378.0	6.0	163.0	0.0	0.0	35.0	38.0	0.0	156.0	0.0	29.0	0.0	112.0	28.0	242.0	771.0	29.0	33.0	45.0	13.0	77.0	0.0	28.0	3.0	143.0	418.0	28.0	35.0	0.0	43.0	9.0	0.0	72.0	0.0	6.0
aab86665d1eef57c72e8abfa64ddecde	366.0	22.0	2870.0	367.0	16.0	528.0	74.0	1226.0	7925.0	17273.0	8.0	65.0	53.0	1652.0	4867.0	10.0	220.0	6253.0	10.0	22.0	1814.0	4.0	82.0	12.0	763.0	2.0	1540.0	7.0	10.0	402.0	0.0	3.0	13190.0	10431.0	192.0
a17b30962a7a3e842059556f60ac71ff	298.0	48.0	34.0	232.0	13.0	141.0	84.0	125.0	569.0	19.0	278.0	189.0	110.0	276.0	390.0	306.0	105.0	41.0	269.0	109.0	201.0	0.0	176.0	0.0	229.0	64.0	4.0	59.0	2.0	97.0	285.0	485.0	58.0	325.0	25.0
6442b794f60871c60a21f8f3e108e24b	280.0	17.0	0.0	0.0	0.0	0.0	0.0	44159.0	427.0	11099.0	0.0	0.0	0.0	5117.0	0.0	0.0	3047.0	1742.0	7.0	0.0	12726.0	0.0	20.0	0.0	1172.0	0.0	1.0	0.0	6.0	4.0	0.0	12.0	9086.0	0.0	0.0
5ff0770bf3d931666d9298816ce04ff3	280.0	329.0	204.0	172.0	69.0	230.0	318.0	245.0	691.0	19.0	133.0	221.0	35.0	0.0	424.0	567.0	89.0	247.0	520.0	116.0	234.0	0.0	113.0	8.0	429.0	478.0	272.0	55.0	0.0	309.0	370.0	169.0	238.0	982.0	22.0
dbb2f5f44e33eb6dead495dc794d8c07	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a3bdeace95717f043abe3c20cd4ec625	226.0	39.0	57.0	0.0	15.0	7.0	48.0	73.0	0.0	41.0	67.0	212.0	63.0	0.0	256.0	0.0	37.0	0.0	39.0	25.0	0.0	0.0	421.0	0.0	227.0	99.0	0.0	80.0	0.0	99.0	163.0	187.0	0.0	0.0	5.0
d203822aac47e90230c23e7c33a7c6ea	222.0	126.0	126.0	82.0	45.0	159.0	69.0	224.0	454.0	52.0	428.0	314.0	0.0	0.0	0.0	194.0	109.0	412.0	429.0	31.0	81.0	0.0	285.0	1.0	57.0	135.0	124.0	80.0	0.0	118.0	495.0	279.0	151.0	398.0	7.0
12da501058b33d084018dfc35b4ce48f	208.0	156.0	53.0	382.0	0.0	383.0	191.0	124.0	97.0	42.0	290.0	0.0	361.0	403.0	262.0	0.0	0.0	138.0	0.0	56.0	92.0	0.0	0.0	20.0	107.0	165.0	93.0	39.0	3.0	136.0	19.0	150.0	140.0	612.0	8.0
0c21459178116ad29a49af2c9a5342c6	204.0	54.0	11.0	106.0	18.0	115.0	62.0	66.0	265.0	0.0	168.0	154.0	93.0	148.0	298.0	245.0	45.0	17.0	229.0	98.0	91.0	2.0	165.0	0.0	163.0	55.0	0.0	37.0	2.0	0.0	207.0	396.0	28.0	181.0	19.0
03069ad98df6e3525d4f7ecd691abc4f	190.0	139.0	31.0	54.0	45.0	216.0	164.0	58.0	103.0	67.0	198.0	189.0	77.0	175.0	363.0	151.0	37.0	0.0	311.0	23.0	0.0	0.0	418.0	3.0	99.0	85.0	84.0	69.0	0.0	21.0	174.0	286.0	57.0	418.0	0.0
f5eeff4008c828e0d0e8da49852312fb	190.0	212.0	86.0	116.0	24.0	58.0	37.0	70.0	341.0	35.0	282.0	24.0	323.0	197.0	289.0	3.0	87.0	127.0	207.0	105.0	57.0	0.0	252.0	2.0	142.0	106.0	215.0	107.0	0.0	111.0	372.0	468.0	77.0	460.0	19.0
a5ff872674e5fe605d5c68899a93b371	171.0	6.0	823.0	172.0	8.0	273.0	60.0	530.0	719.0	13675.0	0.0	1.0	0.0	184.0	1785.0	2.0	77.0	603.0	4.0	21.0	792.0	2.0	17.0	10.0	132.0	0.0	365.0	2.0	0.0	92.0	130.0	4.0	7494.0	4025.0	184.0
a34bae262ecf0ae20706d82d645fb1ec	167.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0
accd35f9f51944996c46641c34353c93	165.0	0.0	9.0	0.0	0.0	64.0	0.0	46.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
