	chao1
cBT11	143.8
cBT32	107.15789473684211
vbT11	155.27272727272728
cBt13	110.5
cBt32	87.3125
vbT22	114.23076923076923
cbt22	98.57142857142857
cBT21	47.0
vbt23	76.46153846153847
vBt13	112.54545454545455
cBt12	104.5
vBt33	95.0
vBT32	48.0
vbT33	52.6
vBT13	84.46153846153847
vBt12	93.3
cBT22	56.76923076923077
cBt21	103.0
ctrl	15.0
vbT31	178.07142857142858
vbT13	84.875
vBt11	91.10526315789474
cbt32	124.33333333333333
vbT21	84.0909090909091
vbt21	103.46153846153847
vbt31	63.0
cbT11	110.0
vbT23	60.1
vBT33	138.33333333333334
cbt11	161.2
cbt33	68.5
cBt23	71.11111111111111
cBT31	48.0
cBT33	132.88235294117646
cBT23	53.75
cBt22	84.11111111111111
cBT13	107.76923076923077
vbt32	26.142857142857142
cbt31	97.0
vBt23	101.23529411764706
cbT22	96.5
cBt33	91.5
vBT11	140.5625
cbT12	146.77777777777777
cbT32	171.4
vbt33	6.0
vBT23	71.23076923076923
cBT12	141.5
cbt12	153.5
cbt21	103.3913043478261
cbT33	92.16666666666667
cbT13	99.71428571428571
cbt13	115.8
vbT12	61.75
vBT21	105.875
vBt31	69.0
cbT31	128.0
vbt12	108.06666666666666
cbT23	32.0
vBT22	84.5
vbt13	91.33333333333333
vbT32	49.0
vbt22	101.5
cbT21	50.333333333333336
vBT31	141.08333333333334
vBT12	135.04761904761904
vbt11	95.75
vBt21	164.45454545454547
vBt32	62.0
cBt11	75.55555555555556
cbt23	70.42857142857143
cBt31	124.0
vBt22	141.875
