	pielou_evenness
cBT33	0.8099300019574894
cbt32	0.85856730253053
vBt31	0.8765811903574269
cbT32	0.5586399672371866
vBt33	0.8781506854455706
cBt32	0.8756991013951219
vbT32	0.8783623080953321
vBt32	0.9152548853294331
vBT31	0.8505059151381154
vBT33	0.6619006978927091
cbt33	0.7340776286515944
vBT32	0.9036518865367589
vbT33	0.8919250052723373
cbT31	0.7437490571998426
vbT31	0.7287025898789322
cBt33	0.8373077172069967
cbT33	0.6382448529866196
cbt31	0.8815127990705545
cBt31	0.7368474322684965
cBT32	0.8631776445543364
vbt31	0.863346996639946
cBT31	0.8971555797965691
