	observed_features
cBT11	64
cBT32	52
vbT11	57
cBt13	54
cBt32	56
vbT22	64
cbt22	64
cBT21	45
vbt23	59
vBt13	52
cBt12	52
vBt33	47
vBT32	47
vbT33	43
vBT13	55
vBt12	50
cBT22	45
cBt21	48
vbT31	80
vbT13	56
vBt11	48
cbt32	71
vbT21	55
vbt21	53
vbt31	41
cbT11	60
vbT23	50
vBT33	69
cbt11	70
cbt33	64
cBt23	52
cBT31	47
cBT33	63
cBT23	49
cBt22	50
cBT13	57
cbt31	53
vBt23	66
cbT22	62
cBt33	52
vBT11	63
cbT12	61
cbT32	77
vBT23	42
cBT12	50
cbt12	51
cbt21	66
cbT33	65
cbT13	70
cbt13	53
vbT12	43
vBT21	76
vBt31	48
cbT31	57
vbt12	59
cbT23	32
vBT22	59
vbt13	52
vbT32	49
vbt22	75
cbT21	47
vBT31	68
vBT12	58
vbt11	46
vBt21	76
vBt32	46
cBt11	44
cbt23	57
cBt31	63
vBt22	70
