# Constructed from biom file
#OTU ID	cBT33	cbt32	vBt31	cbT32	vBt33	cBt32	vbT32	vBt32	vBT31	vBT33	cbt33	vBT32	vbT33	cbT31	vbT31	cBt33	cbT33	cbt31	cBt31	cBT32	vbt31	cBT31
f4a71112441afbfe3e59e754aa48dbfd	125.0	103.0	0.0	247.0	2.0	0.0	13.0	17.0	1.0	305.0	216.0	22.0	4.0	219.0	215.0	6.0	288.0	0.0	212.0	1.0	8.0	7.0
aab86665d1eef57c72e8abfa64ddecde	102.0	75.0	0.0	155.0	2.0	0.0	4.0	11.0	0.0	184.0	125.0	16.0	2.0	134.0	172.0	5.0	157.0	1.0	108.0	2.0	10.0	11.0
c9054740b67f3ac147c3db0e3cc24fee	75.0	11.0	44.0	0.0	32.0	42.0	24.0	88.0	79.0	21.0	33.0	62.0	71.0	19.0	10.0	13.0	23.0	20.0	0.0	38.0	79.0	8.0
5ff0770bf3d931666d9298816ce04ff3	60.0	32.0	95.0	3.0	70.0	85.0	44.0	36.0	60.0	12.0	17.0	69.0	24.0	42.0	23.0	167.0	14.0	47.0	7.0	43.0	6.0	55.0
6a51a452d1a83fb05e2555a8aad21f69	44.0	59.0	46.0	6.0	38.0	19.0	18.0	51.0	34.0	24.0	5.0	33.0	26.0	15.0	20.0	34.0	11.0	42.0	16.0	16.0	120.0	62.0
8e4152b89001647d6db08f2ed4212bec	42.0	30.0	0.0	3.0	41.0	3.0	8.0	5.0	0.0	19.0	0.0	15.0	0.0	3.0	3.0	4.0	0.0	15.0	0.0	0.0	21.0	27.0
526af2c77655026d008338020ad0fb00	41.0	27.0	66.0	4.0	53.0	102.0	25.0	21.0	69.0	13.0	9.0	84.0	25.0	28.0	16.0	127.0	14.0	44.0	7.0	44.0	4.0	56.0
93c548f8ac023c3272f33ec327e7246a	33.0	5.0	19.0	0.0	33.0	46.0	34.0	81.0	51.0	16.0	11.0	48.0	48.0	17.0	10.0	16.0	17.0	20.0	0.0	42.0	49.0	11.0
0c83a3536fbe64cef993d7f19ced2289	32.0	31.0	27.0	3.0	30.0	13.0	0.0	55.0	36.0	8.0	9.0	16.0	25.0	12.0	13.0	38.0	6.0	39.0	11.0	11.0	84.0	73.0
a17b30962a7a3e842059556f60ac71ff	34.0	38.0	11.0	3.0	41.0	9.0	34.0	24.0	22.0	3.0	13.0	13.0	63.0	7.0	17.0	0.0	8.0	90.0	40.0	59.0	14.0	65.0
a5ff872674e5fe605d5c68899a93b371	36.0	26.0	0.0	211.0	0.0	0.0	1.0	0.0	0.0	33.0	127.0	8.0	0.0	95.0	67.0	0.0	141.0	0.0	118.0	0.0	0.0	11.0
69e39cb1c7c2cc3f737d314d9d14d555	20.0	21.0	0.0	0.0	18.0	1.0	8.0	4.0	0.0	11.0	0.0	0.0	0.0	3.0	5.0	6.0	0.0	23.0	0.0	0.0	11.0	16.0
d2528063170a1ed3bce13eecd1bb429a	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
0c21459178116ad29a49af2c9a5342c6	24.0	29.0	9.0	1.0	28.0	5.0	26.0	25.0	16.0	1.0	11.0	18.0	31.0	9.0	7.0	0.0	4.0	55.0	22.0	46.0	13.0	41.0
d3e79847cee60b53a1792c464ed3862a	17.0	13.0	0.0	145.0	2.0	0.0	2.0	0.0	0.0	34.0	84.0	13.0	0.0	59.0	63.0	0.0	69.0	0.0	57.0	0.0	0.0	12.0
645613e5ff9ccf5c4ed0f5648edef24b	19.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
6e72f7063bbf92d45719a7f635667e1d	14.0	3.0	5.0	0.0	19.0	22.0	0.0	17.0	7.0	2.0	3.0	7.0	0.0	0.0	0.0	4.0	0.0	29.0	1.0	0.0	0.0	1.0
894a42e2fd70a58f94c1fbccd06aa838	13.0	38.0	16.0	14.0	18.0	46.0	83.0	10.0	54.0	30.0	9.0	64.0	44.0	47.0	24.0	45.0	5.0	17.0	10.0	33.0	14.0	11.0
03069ad98df6e3525d4f7ecd691abc4f	15.0	27.0	15.0	5.0	22.0	43.0	52.0	8.0	45.0	39.0	0.0	45.0	42.0	30.0	13.0	37.0	4.0	17.0	0.0	37.0	16.0	12.0
aa726f06899740b257f9148d063c8566	5.0	2.0	3.0	1.0	12.0	29.0	0.0	8.0	6.0	1.0	0.0	10.0	0.0	0.0	0.0	3.0	0.0	13.0	1.0	0.0	0.0	0.0
2743352623d112832e8bab6834b10b32	8.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0	44.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
a9ec74a35f4afbaf3e86ba4143bc8cd7	12.0	0.0	75.0	2.0	100.0	12.0	29.0	0.0	8.0	1.0	6.0	0.0	4.0	5.0	14.0	0.0	0.0	10.0	10.0	0.0	24.0	9.0
a323313409a821b78b181afe21529c6d	9.0	0.0	0.0	0.0	11.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
0cbd3e81f1cad3f68bd6f8edaba6c7cc	10.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0
12da501058b33d084018dfc35b4ce48f	9.0	53.0	31.0	4.0	0.0	13.0	32.0	29.0	25.0	7.0	7.0	0.0	45.0	3.0	11.0	0.0	13.0	67.0	11.0	88.0	70.0	24.0
ea25bb0c1e06aafca49f38da95aa1aeb	12.0	0.0	30.0	1.0	8.0	3.0	6.0	0.0	0.0	0.0	0.0	19.0	6.0	0.0	2.0	14.0	1.0	0.0	0.0	15.0	6.0	0.0
971a373efebe29d66f520ded92a07dfe	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
6a32db984fc9bc6229103509c7ce1829	5.0	2.0	31.0	7.0	25.0	0.0	0.0	37.0	14.0	8.0	4.0	0.0	55.0	0.0	7.0	0.0	6.0	25.0	0.0	35.0	15.0	58.0
44e14701beca8fa7bb5c7276aad0f473	5.0	28.0	37.0	1.0	0.0	8.0	25.0	11.0	25.0	3.0	8.0	0.0	30.0	0.0	9.0	0.0	0.0	48.0	6.0	69.0	46.0	16.0
