	shannon_entropy
cBT33	4.822482229326918
cbt32	5.071463125014562
vBt31	4.841850514453454
cbT32	3.435494529357078
vBt33	4.956156181606901
cBt32	4.991869938733217
vbT32	4.795358957434892
vBt32	4.935344864445279
vBT31	4.939189712516442
vBT33	4.015148668643418
cbt33	4.404465771909567
vBT32	4.962723411081051
vbT33	4.839821219946767
cbT31	4.260135437797074
vbT31	4.466424408548753
cBt33	4.571224225848894
cbT33	3.8002351487763444
cbt31	4.949438590654994
cBt31	4.453796286468076
cBT32	4.871650492093159
vbt31	4.497565917351612
cBT31	4.83774766388022
