# Constructed from biom file
#OTU ID	cBT33	cbt32	vBt31	cbT32	vBt33	cBt32	vbT32	bctrl	vBt32	vBT31	vBT33	cbt33	vBT32	vbT33	vbt33	cbT31	vbT31	cBt33	cbT33	cbt31	cBt31	cBT32	vbt32	vbt31	cBT31
f4a71112441afbfe3e59e754aa48dbfd	1409.0	755.0	0.0	10191.0	6.0	0.0	15.0	9.0	95.0	4.0	9658.0	320.0	22.0	6.0	17.0	5630.0	6394.0	93.0	4338.0	1.0	3142.0	9.0	19.0	48.0	14.0
aab86665d1eef57c72e8abfa64ddecde	1018.0	492.0	2.0	6869.0	10.0	0.0	7.0	10.0	53.0	4.0	7245.0	192.0	16.0	8.0	4.0	3706.0	4867.0	78.0	2446.0	3.0	1688.0	5.0	12.0	53.0	22.0
c9054740b67f3ac147c3db0e3cc24fee	663.0	51.0	195.0	2.0	314.0	372.0	28.0	2.0	530.0	810.0	614.0	45.0	62.0	399.0	0.0	462.0	356.0	167.0	367.0	274.0	0.0	357.0	0.0	439.0	20.0
5ff0770bf3d931666d9298816ce04ff3	625.0	262.0	478.0	197.0	567.0	772.0	55.0	0.0	204.0	809.0	521.0	22.0	69.0	133.0	0.0	1277.0	424.0	1563.0	282.0	544.0	145.0	394.0	8.0	35.0	116.0
6a51a452d1a83fb05e2555a8aad21f69	586.0	369.0	221.0	194.0	333.0	146.0	24.0	0.0	295.0	437.0	620.0	8.0	33.0	171.0	0.0	397.0	516.0	370.0	234.0	509.0	168.0	123.0	0.0	679.0	134.0
8e4152b89001647d6db08f2ed4212bec	489.0	259.0	2.0	102.0	297.0	42.0	8.0	0.0	38.0	0.0	589.0	0.0	15.0	0.0	0.0	61.0	114.0	55.0	0.0	171.0	0.0	0.0	8.0	103.0	53.0
526af2c77655026d008338020ad0fb00	452.0	168.0	321.0	156.0	478.0	835.0	45.0	0.0	152.0	681.0	381.0	13.0	84.0	96.0	0.0	811.0	323.0	1234.0	185.0	412.0	66.0	346.0	0.0	20.0	125.0
93c548f8ac023c3272f33ec327e7246a	450.0	34.0	94.0	0.0	232.0	346.0	47.0	0.0	406.0	621.0	432.0	12.0	48.0	245.0	0.0	328.0	290.0	130.0	195.0	232.0	8.0	404.0	3.0	294.0	18.0
0c83a3536fbe64cef993d7f19ced2289	369.0	177.0	146.0	147.0	266.0	113.0	0.0	2.0	276.0	413.0	424.0	15.0	16.0	114.0	0.0	314.0	369.0	311.0	122.0	412.0	98.0	107.0	6.0	407.0	158.0
a17b30962a7a3e842059556f60ac71ff	359.0	313.0	64.0	196.0	306.0	65.0	59.0	2.0	226.0	273.0	83.0	25.0	13.0	278.0	0.0	212.0	390.0	0.0	107.0	748.0	508.0	570.0	0.0	110.0	109.0
