	chao1
cbt11	13.0
cbT11	16.0
cBt11	56.0
cBT11	53.0
cbt12	27.0
cbT12	24.0
cBt12	61.0
cBT12	19.0
cbt13	30.0
cbT13	61.0
cBt13	54.0
cBT13	21.0
cbt21	21.0
cbT21	40.0
cBt21	70.0
cBT21	21.0
cbt22	19.0
cbT22	26.0
cBt22	40.0
cBT22	27.0
cbt23	21.0
cbT23	11.0
cBt23	41.0
cBT23	12.0
cbt31	39.0
cbT31	55.0
cBt31	22.0
cBT31	42.0
cbt32	41.0
cbT32	37.0
cBt32	17.0
cBT32	52.0
cbt33	56.0
cbT33	51.0
cBt33	15.0
cBT33	60.0
fctrl	17.0
vbt11	40.0
vbT11	49.0
vBt11	46.0
vBT11	53.0
vbt12	59.5
vbT12	38.0
vBt12	25.0
vBT12	41.0
vbt13	64.0
vbT13	21.0
vBt13	55.0
vBT13	24.0
vbt21	22.0
vbT21	39.0
vBt21	35.0
vBT21	26.0
vbt22	50.0
vbT22	64.0
vBt22	15.0
vBT22	30.0
vbt23	26.0
vbT23	51.0
vBt23	50.0
vBT23	12.0
vbt31	21.0
vbT31	17.0
vBt31	48.0
vBT31	14.0
vbt32	32.0
vbT32	22.0
vBt32	44.0
vBT32	28.0
vbt33	64.0
vbT33	23.0
vBt33	22.0
vBT33	22.0
