	observed_features
cbt11	13
cbT11	16
cBt11	35
cBT11	45
cbt12	14
cbT12	19
cBt12	36
cBT12	12
cbt13	22
cbT13	32
cBt13	32
cBT13	12
cbt21	21
cbT21	37
cBt21	43
cBT21	18
cbt22	17
cbT22	18
cBt22	29
cBT22	22
cbt23	13
cBt23	28
cBT23	11
cbt31	25
cbT31	33
cBt31	17
cBT31	32
cbt32	27
cbT32	32
cBt32	13
cBT32	30
cbt33	32
cbT33	33
cBT33	43
fctrl	17
vbt11	24
vbT11	28
vBt11	28
vBT11	40
vbt12	39
vbT12	31
vBt12	20
vBT12	28
vbt13	38
vbT13	21
vBt13	39
vBT13	21
vbt21	21
vbT21	23
vBt21	24
vBT21	19
vbt22	33
vbT22	41
vBt22	12
vBT22	26
vbt23	16
vbT23	34
vBt23	35
vBT23	11
vbt31	11
vbT31	17
vBt31	34
vBT31	12
vbt32	17
vBt32	34
vBT32	18
vbt33	50
vbT33	23
vBt33	21
vBT33	19
