# Constructed from biom file
#OTU ID	cbt31	cbT31	cBt31	cBT31	cbt32	cbT32	cBt32	cBT32	cbt33	cbT33	cBt33	cBT33	fctrl	vbt31	vbT31	vBt31	vbt32	vbT32	vBt32	vBT32	vbt33	vbT33	vBt33	vBT33
3e8cf843ae1e99d8a13f65659dcc103d	992.0	599.0	526.0	232.0	780.0	310.0	341.0	343.0	290.0	448.0	337.0	280.0	13.0	159.0	273.0	462.0	86.0	77.0	161.0	94.0	413.0	259.0	62.0	592.0
b7d56027f65de48259ecde66b95a2247	20.0	30.0	179.0	60.0	23.0	258.0	274.0	123.0	165.0	369.0	331.0	282.0	4.0	7.0	38.0	103.0	480.0	37.0	68.0	65.0	151.0	8.0	6.0	266.0
5f040911891ce65eac230f4afd2ede1c	4.0	47.0	66.0	9.0	131.0	153.0	42.0	285.0	48.0	33.0	87.0	55.0	2.0	0.0	0.0	0.0	8.0	8.0	136.0	0.0	15.0	0.0	0.0	53.0
722bb1dea751bf6f51a025823c04d3c7	5.0	3.0	0.0	15.0	0.0	81.0	147.0	0.0	194.0	110.0	77.0	3.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	18.0
bf32eb40a4f3a0e5b6ebd0c79ab04088	24.0	0.0	26.0	21.0	2.0	6.0	3.0	0.0	79.0	90.0	123.0	244.0	9.0	7.0	28.0	1.0	6.0	27.0	87.0	3.0	136.0	9.0	13.0	11.0
e5ccbf680ea6f8a1222f07aca0eba7e6	8.0	0.0	0.0	615.0	2.0	21.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43b98bd64399048071e3262527a2d848	10.0	98.0	14.0	0.0	5.0	72.0	18.0	0.0	220.0	30.0	46.0	21.0	0.0	0.0	0.0	7.0	9.0	4.0	2.0	0.0	14.0	0.0	2.0	0.0
8bc5cedaf9ad22079902a49f0e352b81	3.0	10.0	82.0	0.0	1.0	24.0	171.0	2.0	0.0	34.0	0.0	2.0	0.0	0.0	86.0	1.0	0.0	0.0	8.0	0.0	15.0	0.0	0.0	1.0
2d5251a78c6c7ae7b294306b0e9aa102	4.0	11.0	84.0	17.0	1.0	6.0	8.0	3.0	78.0	0.0	17.0	3.0	3.0	1.0	287.0	82.0	9.0	16.0	2.0	157.0	30.0	5.0	5.0	0.0
dda50efef39d6484bcad2ff2edc2242a	1.0	0.0	0.0	0.0	0.0	199.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
