	shannon_entropy
cbt31	1.3398657852701452
cbT31	3.1938050564220624
cBt31	3.1492501938046598
cBT31	3.0457358059618738
cbt32	2.089666772426182
cbT32	3.474211116242969
cBt32	3.4051240824046674
cBT32	3.0125719516209752
cbt33	3.405615586525006
cbT33	2.7803120443962657
cBt33	3.4926810001066615
cBT33	3.0851089177249076
fctrl	3.3778520464204598
vbt31	1.6084750725313768
vbT31	3.4394634024629474
vBt31	3.706873812169483
vbt32	2.8274974089002907
vbT32	3.0051609604895573
vBt32	3.148934467194546
vBT32	3.316645503608679
vbt33	4.058527423838491
vbT33	2.3674909787041285
vBt33	2.8749874603756593
vBT33	2.849433429465107
