# Constructed from biom file
#OTU ID	cbt31	cbT31	cBt31	cBT31	cbt32	cbT32	cBt32	cBT32	cbt33	cbT33	cBt33	cBT33	fctrl	vbt31	vbT31	vBt31	vBT31	vbt32	vbT32	vBt32	vBT32	vbt33	vbT33	vBt33	vBT33
3e8cf843ae1e99d8a13f65659dcc103d	6370.0	102451.0	28188.0	23910.0	9610.0	77011.0	54824.0	4808.0	14422.0	25467.0	48568.0	5934.0	89.0	2466.0	14010.0	10456.0	177.0	196.0	195.0	696.0	294.0	80993.0	440.0	362.0	24251.0
b7d56027f65de48259ecde66b95a2247	181.0	4870.0	8817.0	6718.0	188.0	65303.0	40810.0	1750.0	8239.0	21640.0	44226.0	5393.0	25.0	71.0	2478.0	2884.0	63.0	1010.0	72.0	306.0	217.0	29127.0	19.0	88.0	11420.0
5f040911891ce65eac230f4afd2ede1c	43.0	6840.0	2785.0	734.0	1632.0	36057.0	6380.0	3673.0	1925.0	1821.0	11342.0	1420.0	28.0	0.0	0.0	0.0	0.0	16.0	18.0	533.0	9.0	1833.0	0.0	0.0	2034.0
722bb1dea751bf6f51a025823c04d3c7	42.0	1521.0	0.0	1736.0	0.0	16214.0	23024.0	0.0	8653.0	6261.0	10438.0	56.0	0.0	0.0	19.0	1120.0	0.0	0.0	0.0	0.0	0.0	1598.0	0.0	0.0	629.0
bf32eb40a4f3a0e5b6ebd0c79ab04088	225.0	106.0	1536.0	1646.0	23.0	1879.0	1266.0	16.0	3657.0	5275.0	14096.0	5471.0	53.0	115.0	1171.0	48.0	74.0	11.0	67.0	336.0	15.0	26936.0	18.0	108.0	324.0
e5ccbf680ea6f8a1222f07aca0eba7e6	63.0	0.0	0.0	57805.0	30.0	2645.0	0.0	20.0	49.0	0.0	0.0	64.0	0.0	0.0	0.0	315.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43b98bd64399048071e3262527a2d848	46.0	15250.0	1233.0	47.0	40.0	18951.0	3460.0	0.0	8962.0	1904.0	6466.0	608.0	0.0	0.0	0.0	208.0	5.0	19.0	7.0	7.0	0.0	3165.0	0.0	14.0	0.0
8bc5cedaf9ad22079902a49f0e352b81	16.0	815.0	4342.0	24.0	21.0	5678.0	30077.0	19.0	24.0	1982.0	27.0	30.0	0.0	6.0	4589.0	21.0	6.0	0.0	0.0	15.0	0.0	2069.0	0.0	0.0	5.0
2d5251a78c6c7ae7b294306b0e9aa102	40.0	1978.0	4050.0	1430.0	33.0	1240.0	817.0	14.0	3631.0	18.0	2717.0	31.0	18.0	29.0	17523.0	1741.0	20.0	24.0	36.0	17.0	436.0	8365.0	6.0	22.0	24.0
dda50efef39d6484bcad2ff2edc2242a	7.0	16.0	11.0	8.0	17.0	40005.0	13.0	6.0	7.0	7.0	18.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
e45d7d07aa26ba280ff1aae3812448d8	18.0	29541.0	0.0	20.0	7.0	11.0	0.0	0.0	19.0	0.0	14.0	24.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	568.0	0.0	0.0	0.0
b3be8c83c5738a35cd66713a96247766	0.0	2600.0	4493.0	2392.0	23.0	5093.0	8632.0	0.0	0.0	0.0	4491.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2021.0	0.0	0.0	365.0
90ecc1d9577ee5fba30cc75365252b98	0.0	1336.0	6.0	13.0	11.0	3366.0	2222.0	0.0	18.0	0.0	1701.0	4179.0	0.0	16.0	3921.0	0.0	11.0	10.0	10.0	9.0	6.0	10875.0	4.0	6.0	13.0
