sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
cbT31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT31_S31_L001_R1_001.fastq.gz	forward	cbT31	its76	bT	healthy	NNet	MMax	carbfranc	3	1	9/27/2022	6/14/2023	N704	S510	GP22_GSR	1	928.7	476	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt31_S55_L001_R1_001.fastq.gz	forward	cBt31	its79	Bt	healthy	Net	NMax	carbfranc	3	1	9/27/2022	6/14/2023	N707	S510	GP22_GSR	1	611.8	469	4.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt31_S79_L001_R1_001.fastq.gz	forward	cbt31	its82	bt	healthy	NNet	NMax	carbfranc	3	1	9/27/2022	6/14/2023	N712	S510	GP22_GSR	1	752.2	433	4.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT31_S7_L001_R1_001.fastq.gz	forward	cBT31	its73	BT	healthy	Net	MMax	carbfranc	3	1	9/27/2022	6/14/2023	N701	S510	GP22_GSR	1	831.9	545	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT32_S15_L001_R1_001.fastq.gz	forward	cBT32	its74	BT	healthy	Net	MMax	carbfranc	3	2	9/27/2022	6/14/2023	N702	S510	GP22_GSR	1	1274.2	467	4.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT32_S39_L001_R1_001.fastq.gz	forward	cbT32	its77	bT	healthy	NNet	MMax	carbfranc	3	2	9/27/2022	6/14/2023	N705	S510	GP22_GSR	1	695.7	543	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt32_S63_L001_R1_001.fastq.gz	forward	cBt32	its80	Bt	healthy	Net	NMax	carbfranc	3	2	9/27/2022	6/14/2023	N710	S510	GP22_GSR	1	566.4	566.4	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbt32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbt32_S87_L001_R1_001.fastq.gz	forward	cbt32	its83	bt	healthy	NNet	NMax	carbfranc	3	2	9/27/2022	6/14/2023	N714	S510	GP22_GSR	1	881.8	479	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBT33	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBT33_S23_L001_R1_001.fastq.gz	forward	cBT33	its75	BT	healthy	Net	MMax	carbfranc	3	3	9/27/2022	6/14/2023	N703	S510	GP22_GSR	1	1058.7	525	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cbT33	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cbT33_S47_L001_R1_001.fastq.gz	forward	cbT33	its78	bT	healthy	NNet	MMax	carbfranc	3	3	9/27/2022	6/14/2023	N706	S510	GP22_GSR	1	627.4	474	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
cBt33	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/cBt33_S71_L001_R1_001.fastq.gz	forward	cBt33	its81	Bt	healthy	Net	NMax	carbfranc	3	3	9/27/2022	6/14/2023	N711	S510	GP22_GSR	1	601.3	518	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
